鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.44,商,,,10903,二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.4,3,2,2,有,無,8770000,63745,坡道平面,26.94,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.44,商,,,10902,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.4,3,2,2,有,無,9270000,63745,坡道平面,26.94,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.39,商,,,10808,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,115.99,2,2,1,有,無,7190000,63748,坡道機械,17.32,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.99,商,,,10808,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.84,2,2,1,有,無,7950000,63790,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,文北段121~150地號,18.66,住,,,10711,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.27,2,2,2,有,無,6900000,63808,坡道平面,36.94,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,文北段121~150地號,18.46,住,,,10801,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.27,2,2,1,有,無,7000000,63808,坡道平面,36.94,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,20.92,住,,,10807,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,162.27,3,1,2,有,無,9950000,63809,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.89,商,,,10808,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,119.41,2,2,1,有,無,7480000,63832,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.89,商,,,10811,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,112.57,2,2,1,有,無,6980000,63832,坡道機械,17.32,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.89,商,,,10811,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,,0,112.57,2,2,1,有,無,6980000,63832,坡道機械,17.32,900000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,文北段121~150地號,18.66,住,,,10712,二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.2,2,2,1,有,無,6900000,63858,坡道平面,36.94,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,文北段121~150地號,24.55,住,,,10803,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,155.94,3,2,2,有,無,9000000,63866,坡道平面,36.94,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.99,商,,,10809,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.84,2,2,1,有,無,7960000,63888,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,14.99,商,,,10809,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.84,2,2,1,有,無,7860000,63888,坡道平面,24.16,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,13.37,商,,,10902,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,148.46,3,2,2,有,無,9200000,63962,坡道平面,25.73,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,24.17,住,,,10902,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,182.71,4,1,2,有,無,11380000,63974,坡道平面,26.71,1400000,親友、員工或其他特殊關係間之交易。;,2(資料揭露)
